Account;11/02/2018
bonappetit;3187723
NatGeoFood;35330
TwitterFood;838066
Fooddotcom;27
newfoodeconomy;5806
bflay;2681626
RealCarrotFacts;222427
NYTFood;1418944
CivilEats;91724
Seriouseats;802264
RealCapnCrunch;41655
iowagirleats;15304
spoonuniversity;17197
foodandwine;6670708
epicurious;2793373
Newsweek;3416275
nytimes;41107913
NBCNews;5832061
CNN;39401297
washingtonpost;12070847
BBCWorld;22604040
WSJ;15514500
FoxNews;17173031
ABC;13454669
Reuters;19374104
el_pais;6554301
abc_es;1513438
antena3com;1352440
noticias_cuatro;798000
24h_tve;1259884
ecosdelbalon;38154
NYT4thDownBot;26045
baseballpro;114065
FutbolAvanzado;21955
NBA;27295012
LaLiga;3448107
AnalyseSport;8565
Olympics;5961572
wizard_cfc;14301
ThatGuyTipsterr;7075
moneyballfutbol;2819
Multi_Apuesta;49811
AP_Sports;119334
sportbible;1299560
SportsCenter;35485692
livefolk;201
travel;6124748
NatGeoTravel;6506841
TravelLeisure;4013157
Earth_Pics;8443891
EarthPix;3000529
frugaltraveler;517018
nytimestravel;1138847
BBC_Travel;979116
TelegraphTravel;282749
TravelMagazine;2777602
CNTraveler;3170542
ThatsEarth;1466346
chicagoideas;39270
ViajaEnElMundo;127527
TheBlondeSalad;9915
kenzo;318725
voguemagazine;13668121
BritishVogue;3602152
ELLEmagazine;6849019
Cosmopolitan;1726546
Fashionista_com;2248526
WhoWhatWear;2332915
TheCut;1430069
TimesFashion;2507877
ELLEUK;1221647
LondonFashionWk;1262846
VictoriasSecret;11482481
styleinmadrid;28534
RevistaInStyle;31016
Sephora;2377267
CiudadanosCs;457281
Bcnisnotcat_;47259
AMI__cat;36823
TheDemocrats;1421079
epp;124786
ahorapodemos;1319744
CNNPolitics;2595595
bpolitics;233501
ABCPolitics;667726
MSNBC;2003945
latimes;3196674
thehill;2964643
vox_es;68923
cope_es;339574
OndaCero_es;492855
UberFacts;14544505
BuzzFeed;6422513
SavedYouAClick;259460
MoviePass;41932
kalesalad;155625
cuantocabron;210017
ladbible;2030076
mental_floss;646832
elmundotoday;1151112
Cabronazi;251237
lavecinarubia;357848
pourmecoffee;279530
NFL_Memes;441743
9GAG;14609343
funnyordie;14385127
netflix;4714736
hbo;1914729
FOXTV;1252848
SonyPicsTeens;2993453
Miramax;430117
NBC;1783656
La1_tve;529301
laSextaTV;892683
9gagtv;187593
PrimeVideo;370899
hulu;530572
CBS;962960
shows_tv;14278
MarvelStudios;594150
TwitterMovies;7192813
policia;3117492
CIA;2271869
WhiteHouse;16598790
casareal;822003
nswpolice;152424
guardiacivil;1176935
DGTes;198233
esa;820840
NASA;28439810
CERN;2560547
EU_Commission;901250
UN;10043995
EUCouncil;308891
ONU_es;933385
UNICEF;7105693
sockington;1422982
Fascinatingpics;6356582
shedancestibet;24008
A_single_bear;111505
BronxZoosCobra;159124
MoveTheWorld;117553
peta;1060523
dodo;710757
BuzzFeedAnimals;104402
NationalZoo;419432
fabulousanimals;1098714
darth;115948
EmrgencyKittens;6380472
AnimalPlanet;1582528
natgeowild;921996
TEDTalks;10962156
materia_ciencia;700210
cienciaplus;386889
WIREDScience;2096592
ScienceMarchDC;356102
sciencemagazine;1110569
sciencemuseum;662211
aaas;86132
NSF;1086457
PopSci;1260357
scienceworldca;17067
rdfrs;78569
MarsCuriosity;3924023
cienciatmx;23
CdeCiencia;52214
StockTwits;596613
business;4597821
1Brokercom;4511
LSFinancial;15383
TV_TradingIdeas;13487
mytradingbuddy;85102
HarvardBiz;5329488
BabyPips;86203
FTTradingRoom;23322
TradingNation;16269
BigCheds;29994
DanielsTrading;6468
canuck2usa;41805
BourseetTrading;14611
tradingview;39771
