Account;2018-03-17
bonappetit;3218081.0
NatGeoFood;35848.0
TwitterFood;838550.0
Fooddotcom;30.0
newfoodeconomy;6162.0
bflay;2713226.0
RealCarrotFacts;221222.0
NYTFood;1420182.0
CivilEats;92587.0
Seriouseats;806362.0
RealCapnCrunch;41680.0
iowagirleats;15290.0
spoonuniversity;17268.0
foodandwine;6678968.0
epicurious;2801342.0
Newsweek;3424495.0
nytimes;41443504.0
NBCNews;5935498.0
CNN;39761600.0
washingtonpost;12262780.0
BBCWorld;22892908.0
WSJ;15633800.0
FoxNews;17428750.0
ABC;13697555.0
Reuters;19497519.0
el_pais;6591930.0
abc_es;1528390.0
antena3com;1358562.0
noticias_cuatro;803456.0
24h_tve;1267438.0
ecosdelbalon;38735.0
NYT4thDownBot;25904.0
baseballpro;115174.0
FutbolAvanzado;24622.0
NBA;27429012.0
LaLiga;3525280.0
AnalyseSport;8566.0
Olympics;6173042.0
wizard_cfc;15652.0
ThatGuyTipsterr;8357.0
moneyballfutbol;2816.0
Multi_Apuesta;50216.0
AP_Sports;120231.0
sportbible;
SportsCenter;35581092.0
livefolk;203.0
travel;6371098.0
NatGeoTravel;6601462.0
TravelLeisure;4023596.0
Earth_Pics;
EarthPix;3044053.0
frugaltraveler;516916.0
nytimestravel;1142901.0
BBC_Travel;984143.0
TelegraphTravel;285340.0
TravelMagazine;2791463.0
CNTraveler;3225468.0
ThatsEarth;1462365.0
chicagoideas;39378.0
ViajaEnElMundo;131197.0
TheBlondeSalad;9942.0
kenzo;321625.0
voguemagazine;13675792.0
BritishVogue;3609433.0
ELLEmagazine;6867025.0
Cosmopolitan;1727021.0
Fashionista_com;2253998.0
WhoWhatWear;2329377.0
TheCut;1430943.0
TimesFashion;2506278.0
ELLEUK;1220823.0
LondonFashionWk;1269861.0
VictoriasSecret;11510793.0
styleinmadrid;28476.0
RevistaInStyle;31112.0
Sephora;2389089.0
CiudadanosCs;464108.0
Bcnisnotcat_;55181.0
AMI__cat;37628.0
TheDemocrats;1430542.0
epp;125082.0
ahorapodemos;1327053.0
CNNPolitics;2635319.0
bpolitics;236640.0
ABCPolitics;690142.0
MSNBC;2049199.0
latimes;3222253.0
thehill;3027113.0
vox_es;71216.0
cope_es;342260.0
OndaCero_es;495971.0
UberFacts;14519262.0
BuzzFeed;6488231.0
SavedYouAClick;259754.0
MoviePass;47270.0
kalesalad;164190.0
cuantocabron;209184.0
ladbible;2049864.0
mental_floss;650260.0
elmundotoday;1170156.0
Cabronazi;253827.0
lavecinarubia;394638.0
pourmecoffee;280666.0
NFL_Memes;442053.0
9GAG;14749596.0
funnyordie;14397759.0
netflix;4823304.0
hbo;1929715.0
FOXTV;1259009.0
SonyPicsTeens;2981718.0
Miramax;428209.0
NBC;1805076.0
La1_tve;534967.0
laSextaTV;897848.0
9gagtv;187149.0
PrimeVideo;373318.0
hulu;532111.0
CBS;978005.0
shows_tv;14339.0
MarvelStudios;789067.0
TwitterMovies;7195436.0
policia;3140056.0
CIA;2289282.0
WhiteHouse;16802538.0
casareal;837603.0
nswpolice;153582.0
guardiacivil;1209609.0
DGTes;202372.0
esa;830241.0
NASA;28869414.0
CERN;2579181.0
EU_Commission;918311.0
UN;10188922.0
EUCouncil;316883.0
ONU_es;956478.0
UNICEF;7173070.0
sockington;1420009.0
Fascinatingpics;6609460.0
shedancestibet;23963.0
A_single_bear;113060.0
BronxZoosCobra;158963.0
MoveTheWorld;118253.0
peta;1062166.0
dodo;780628.0
BuzzFeedAnimals;106273.0
NationalZoo;429501.0
fabulousanimals;
darth;120104.0
EmrgencyKittens;6688301.0
AnimalPlanet;1601765.0
natgeowild;925640.0
TEDTalks;11030804.0
materia_ciencia;720941.0
cienciaplus;398036.0
WIREDScience;2098955.0
ScienceMarchDC;356227.0
sciencemagazine;1125674.0
sciencemuseum;666940.0
aaas;88902.0
NSF;1090094.0
PopSci;1263955.0
scienceworldca;17524.0
rdfrs;80874.0
MarsCuriosity;3932978.0
cienciatmx;23.0
CdeCiencia;56273.0
StockTwits;599916.0
business;4661417.0
1Brokercom;4685.0
LSFinancial;15375.0
TV_TradingIdeas;13938.0
mytradingbuddy;84262.0
HarvardBiz;5367483.0
BabyPips;87386.0
FTTradingRoom;23657.0
TradingNation;17187.0
BigCheds;51414.0
DanielsTrading;6460.0
canuck2usa;43553.0
BourseetTrading;15342.0
mytradingbuddy;84262.0
tradingview;42192.0
LSFinancial;15375.0
TV_TradingIdeas;13938.0
